"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::f68e:38ff:fe87:a57e","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from f4:8e:38:87:a5:7e"
"2","0.006278000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.16.222?  Tell 192.168.16.253"
"3","0.039035000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.9?  Tell 192.168.16.254"
"4","0.039150000","192.168.14.141","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"5","0.057747000","Dell_1d:f8:d4","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.73"
"6","0.060186000","192.168.3.203","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7","0.077077000","40:88:05:81:71:04","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.12.17"
"8","0.085763000","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"9","0.098310000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.16.214?  Tell 192.168.16.253"
"10","0.139610000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.10?  Tell 192.168.16.254"
"11","0.151808000","fe80::175:6553:3c34:d4f0","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from c8:1f:66:06:4a:84"
"12","0.178440000","f4:8e:38:87:40:e1","Broadcast","ARP","60","Who has 192.168.3.133?  Tell 192.168.3.127"
"13","0.181316000","192.168.14.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"14","0.185192000","Dell_28:20:ce","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.151"
"15","0.200904000","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"16","0.239023000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.11?  Tell 192.168.16.254"
"17","0.239625000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.1?  Tell 192.168.16.254"
"18","0.243260000","216.58.197.68","10.10.14.151","TCP","66","https > 51709 [FIN, ACK] Seq=1 Ack=1 Win=175 Len=0 TSval=2559300079 TSecr=23747257"
"19","0.245234000","fe80::208:a1ff:fe43:c3c2","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 00:08:a1:43:c3:c2"
"20","0.248429000","Dell_f3:81:c7","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.127"
"21","0.281997000","D-Link_9f:8a:c9","Broadcast","ARP","60","Who has 10.10.15.50?  Tell 10.10.15.65"
"22","0.283865000","Antholog_10:37:03","Broadcast","ARP","60","Gratuitous ARP for 192.168.20.6 (Request)"
"23","0.301527000","fe80::4046:d001:d60a:e934","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for fe80::1 from 00:25:64:92:4d:81"
"24","0.310878000","fe80::80a7:7d55:7ecf:5582","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 34:17:eb:9e:8e:45"
"25","0.328694000","HonHaiPr_01:86:2e","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.17.64"
"26","0.339607000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.12?  Tell 192.168.16.254"
"27","0.340205000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.2?  Tell 192.168.16.254"
"28","0.345054000","192.168.9.83","192.168.31.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"29","0.345407000","Dell_ba:ac:7f","Broadcast","ARP","60","Who has 192.168.5.29?  Tell 192.168.3.222"
"30","0.382715000","fe80::104b:adee:75e6:c425","ff02::1:ff2f:e430","ICMPv6","86","Neighbor Solicitation for fe80::a490:6a6c:d52f:e430 from 00:19:d1:45:e9:4b"
"31","0.383289000","Dell_27:82:de","Broadcast","ARP","60","Who has 192.168.7.142?  Tell 192.168.3.149"
"32","0.424797000","Elitegro_bb:40:79","Broadcast","ARP","60","Who has 192.168.17.33?  Tell 192.168.17.13"
"33","0.438095000","108.168.177.14","10.10.13.238","TCP","103","[TCP segment of a reassembled PDU]"
"34","0.439027000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.13?  Tell 192.168.16.254"
"35","0.439623000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.3?  Tell 192.168.16.254"
"36","0.447665000","192.168.3.148","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"37","0.486747000","fe80::8e2:220e:db99:187f","ff02::2","ICMPv6","70","Router Solicitation from c8:e0:eb:9e:44:9e"
"38","0.508819000","192.168.9.126","192.168.31.255","NBNS","92","Name query NB ARMMF.ADOBE.COM<00>"
"39","0.539558000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.14?  Tell 192.168.16.254"
"40","0.540162000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.4?  Tell 192.168.16.254"
"41","0.541746000","192.168.9.199","192.168.9.255","NBNS","92","Name query NB ISATAP<00>"
"42","0.547555000","192.168.3.247","192.168.3.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"43","0.555855000","169.45.210.77","10.10.10.130","SSL","350","Continuation Data"
"44","0.556408000","192.168.16.252","192.168.16.255","NBNS","92","Name query NB PANKS<1c>"
"45","0.564017000","169.45.210.83","10.10.13.250","SSL","350","Continuation Data"
"46","0.564195000","Dell_75:e8:5f","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.190"
"47","0.606010000","fe80::4c15:cfa8:41b1:ed7e","ff02::1:2","DHCPv6","157","Solicit XID: 0x1fa7f6 CID: 000100011dc2ddc2001e90bb36b9 "
"48","0.619047000","fe80::adb7:4c35:7a64:621e","ff02::1:ff18:d425","ICMPv6","86","Neighbor Solicitation for fe80::899f:4a1b:518:d425 from b8:ac:6f:68:65:68"
"49","0.621767000","fe80::25e2:1c6e:545d:d5ca","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for fe80::1 from f0:4d:a2:fd:b3:b3"
"50","0.637926000","Micro-St_93:c9:5d","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.10.207"
"51","0.638985000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.15?  Tell 192.168.16.254"
"52","0.639591000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.5?  Tell 192.168.16.254"
"53","0.643775000","Dell_28:20:9d","Broadcast","ARP","60","Who has 192.168.7.142?  Tell 192.168.7.149"
"54","0.646394000","Dell_27:49:60","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.87"
"55","0.646462000","192.168.17.101","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"56","0.662140000","fe80::383f:1ffd:91f7:8c6c","ff02::1:3","LLMNR","95","Standard query 0x9792  A WIN-JJVQTFUFFR8"
"57","0.662479000","192.168.7.234","224.0.0.252","LLMNR","75","Standard query 0x9792  A WIN-JJVQTFUFFR8"
"58","0.662739000","Giga-Byt_0e:7d:ed","Broadcast","ARP","60","Who has 192.168.14.250?  Tell 192.168.15.177"
"59","0.671319000","10.10.11.221","224.0.0.251","MDNS","103","Standard query 0x0003  PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"60","0.671790000","192.168.7.3","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"61","0.718919000","192.168.9.17","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"62","0.727353000","f4:8e:38:87:40:e1","Broadcast","ARP","60","Who has 192.168.3.133?  Tell 192.168.3.127"
"63","0.739513000","D-Link_95:3e:60","Broadcast","0x88e8","60","Ethernet II"
"64","0.740070000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.6?  Tell 192.168.16.254"
"65","0.746828000","192.168.16.254","10.10.10.28","TCP","60","57777 > etftp [RST] Seq=1 Win=5840 Len=0"
"66","0.757965000","Dell_27:4c:81","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.20.251"
"67","0.761831000","Dell_28:20:ce","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.151"
"68","0.771832000","fe80::383f:1ffd:91f7:8c6c","ff02::1:3","LLMNR","95","Standard query 0x9792  A WIN-JJVQTFUFFR8"
"69","0.771876000","192.168.7.234","224.0.0.252","LLMNR","75","Standard query 0x9792  A WIN-JJVQTFUFFR8"
"70","0.789897000","192.168.17.121","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"71","0.790347000","Dell_93:c6:ce","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.14.141"
"72","0.824610000","Cisco_c8:aa:d2","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 0/0/00:07:4f:12:34:c0  Cost = 38  Port = 0x8012"
"73","0.825364000","fe80::25e2:1c6e:545d:d5ca","ff02::1:3","LLMNR","95","Standard query 0x5d0c  AAAA WIN-JJVQTFUFFR8"
"74","0.825628000","192.168.3.203","224.0.0.252","LLMNR","75","Standard query 0x5d0c  AAAA WIN-JJVQTFUFFR8"
"75","0.835870000","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"76","0.838880000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.7?  Tell 192.168.16.254"
"77","0.855756000","64.233.188.188","10.10.15.48","TCP","97","hpvroom > 39687 [PSH, ACK] Seq=1 Ack=1 Win=175 Len=31 TSval=2933171628 TSecr=49981356"
"78","0.856476000","Dell_89:88:23","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.28.38"
"79","0.861817000","Dell_6a:56:64","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.96"
"80","0.879948000","fe80::6600:6aff:fe37:40d9","ff02::1:ff02:22f","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:22f from 64:00:6a:37:40:d9"
"81","0.910731000","SmdInfor_6b:65:74","Broadcast","ARP","60","Who has 192.168.20.7?  Tell 0.0.0.0"
"82","0.930733000","CompalIn_b3:29:81","Broadcast","ARP","60","Who has 169.254.94.215?  Tell 192.168.9.149"
"83","0.930777000","CompalIn_b3:29:81","Broadcast","ARP","60","Who has 192.168.9.154?  Tell 192.168.9.149"
"84","0.932038000","Giga-Byt_27:ce:83","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.14.28"
"85","0.933950000","fe80::25e2:1c6e:545d:d5ca","ff02::1:3","LLMNR","95","Standard query 0x5d0c  AAAA WIN-JJVQTFUFFR8"
"86","0.933965000","192.168.3.203","224.0.0.252","LLMNR","75","Standard query 0x5d0c  AAAA WIN-JJVQTFUFFR8"
"87","0.939473000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.8?  Tell 192.168.16.254"
"88","0.943167000","D-Link_9f:8a:cf","Broadcast","ARP","60","Who has 10.10.15.50?  Tell 10.10.15.165"
"89","0.943252000","fe80::4a4d:7eff:fec6:fe57","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 48:4d:7e:c6:fe:57"
"90","0.965320000","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"91","0.973209000","192.168.7.234","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"92","0.973236000","fe80::ad92:4946:c11e:bff0","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for fe80::1 from f4:8e:38:9d:86:5c"
"93","0.990235000","Dell_f3:fa:7a","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.129"
"94","1.001717000","fe80::f68e:38ff:fe87:a57e","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from f4:8e:38:87:a5:7e"
"95","1.006313000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.16.222?  Tell 192.168.16.253"
"96","1.038921000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.9?  Tell 192.168.16.254"
"97","1.095240000","58:fb:84:7f:d0:eb","Broadcast","ARP","60","Who has 10.10.11.3?  Tell 10.10.11.216"
"98","1.098354000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.16.214?  Tell 192.168.16.253"
"99","1.128215000","Dell_27:48:0a","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.208"
"100","1.137360000","Dell_fd:b3:b3","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.3.203"
"101","1.139470000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.10?  Tell 192.168.16.254"
"102","1.158015000","fe80::175:6553:3c34:d4f0","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from c8:1f:66:06:4a:84"
"103","1.164756000","fe80::90c7:9c8e:4162:743a","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"104","1.197658000","192.168.3.148","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"105","1.231030000","Dell_27:49:60","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.87"
"106","1.238886000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.1?  Tell 192.168.16.254"
"107","1.239504000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.11?  Tell 192.168.16.254"
"108","1.243198000","fe80::9ade:d0ff:fefe:1fe3","ff02::1:2","DHCPv6","128","Solicit XID: 0xeb385f CID: 00010001215660bb98ded0fe1fe3 "
"109","1.246822000","Dell_f3:81:c7","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.127"
"110","1.247232000","fe80::208:a1ff:fe43:c3c2","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 00:08:a1:43:c3:c2"
"111","1.249993000","fe80::14c5:4405:a977:e671","ff02::1:2","DHCPv6","157","Solicit XID: 0xdc4db4 CID: 0001000121280f23a08cfd4e6941 "
"112","1.281868000","35.201.97.85","10.10.15.54","TLSv1.2","97","Encrypted Alert"
"113","1.281977000","D-Link_9f:8a:c9","Broadcast","ARP","60","Who has 10.10.15.50?  Tell 10.10.15.65"
"114","1.287948000","192.168.9.199","192.168.9.255","NBNS","92","Name query NB ISATAP<00>"
"115","1.298309000","Elitegro_bb:40:79","Broadcast","ARP","60","Who has 192.168.17.33?  Tell 192.168.17.13"
"116","1.299874000","fe80::4046:d001:d60a:e934","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for fe80::1 from 00:25:64:92:4d:81"
"117","1.323173000","0.0.0.0","255.255.255.255","DHCP","590","DHCP Request  - Transaction ID 0x34449b3"
"118","1.323826000","0.0.0.0","255.255.255.255","DHCP","590","DHCP Discover - Transaction ID 0x225cede0"
"119","1.334884000","fe80::80a7:7d55:7ecf:5582","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 34:17:eb:9e:8e:45"
"120","1.339488000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.2?  Tell 192.168.16.254"
"121","1.340081000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.12?  Tell 192.168.16.254"
"122","1.350073000","fe80::f191:90d9:5ddc:b4ca","ff02::1:2","DHCPv6","151","Solicit XID: 0xb48e79 CID: 000100011fa24848a4badbc5d785 "
"123","1.381157000","fe80::104b:adee:75e6:c425","ff02::1:ff2f:e430","ICMPv6","86","Neighbor Solicitation for fe80::a490:6a6c:d52f:e430 from 00:19:d1:45:e9:4b"
"124","1.410771000","fe80::adb7:4c35:7a64:621e","ff02::1:ff11:4e6f","ICMPv6","86","Neighbor Solicitation for fe80::5058:2741:6f11:4e6f from b8:ac:6f:68:65:68"
"125","1.410859000","192.168.17.101","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"126","1.422139000","fe80::ec3b:be3b:a1cf:b8dc","ff02::1:ff64:621e","ICMPv6","86","Neighbor Solicitation for fe80::adb7:4c35:7a64:621e from 28:d2:44:f6:d0:71"
"127","1.438930000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.13?  Tell 192.168.16.254"
"128","1.439588000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.3?  Tell 192.168.16.254"
"129","1.445135000","192.168.9.17","192.168.31.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"130","1.464011000","fe80::c2c9:76ff:fe50:72f9","ff02::2","ICMPv6","70","Router Solicitation from c0:c9:76:50:72:f9"
"131","1.471674000","CompalIn_b3:29:81","Broadcast","ARP","60","Who has 169.254.94.215?  Tell 192.168.9.149"
"132","1.471866000","CompalIn_b3:29:81","Broadcast","ARP","60","Who has 192.168.9.154?  Tell 192.168.9.149"
"133","1.472534000","fe80::adb7:4c35:7a64:621e","ff02::1:ff1c:b39b","ICMPv6","86","Neighbor Solicitation for fe80::d107:c499:311c:b39b from b8:ac:6f:68:65:68"
"134","1.502391000","fe80::4a4d:7eff:feca:8004","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 48:4d:7e:ca:80:04"
"135","1.507818000","192.168.3.209","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"136","1.523610000","HonHaiPr_bf:b3:31","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.10.239"
"137","1.539475000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.14?  Tell 192.168.16.254"
"138","1.540041000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.4?  Tell 192.168.16.254"
"139","1.553808000","192.168.17.121","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"140","1.582553000","Dell_92:d2:91","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.17.142"
"141","1.614264000","fe80::4a4d:7eff:fec6:ff33","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 48:4d:7e:c6:ff:33"
"142","1.620252000","fe80::194f:e6f8:dfa4:d1ec","ff02::1:2","DHCPv6","152","Solicit XID: 0x9ceed5 CID: 0001000117c47ff290b11c618c8e "
"143","1.638889000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.5?  Tell 192.168.16.254"
"144","1.639345000","fe80::221:9bff:fe6e:4b01","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 00:21:9b:6e:4b:01"
"145","1.639525000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.15?  Tell 192.168.16.254"
"146","1.694109000","58:fb:84:7f:d0:eb","Broadcast","ARP","60","Who has 10.10.11.3?  Tell 10.10.11.216"
"147","1.704331000","0.0.0.0","255.255.255.255","DHCP","348","DHCP Discover - Transaction ID 0xe062253d"
"148","1.721768000","192.168.7.234","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"149","1.727399000","f4:8e:38:87:40:e1","Broadcast","ARP","60","Who has 192.168.3.133?  Tell 192.168.3.127"
"150","1.739525000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.6?  Tell 192.168.16.254"
"151","1.748638000","Dell_28:20:ce","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.151"
"152","1.753203000","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"153","1.777631000","Dell_27:88:85","Broadcast","ARP","60","Who has 192.168.7.253?  Tell 192.168.9.159"
"154","1.782061000","192.168.3.215","224.0.0.252","LLMNR","64","Standard query 0x82e0  A wpad"
"155","1.838890000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.7?  Tell 192.168.16.254"
"156","1.839014000","118.214.135.85","10.10.12.0","TLSv1.2","85","Encrypted Alert"
"157","1.839024000","118.214.135.85","10.10.12.0","TCP","60","https > 50976 [FIN, ACK] Seq=32 Ack=1 Win=980 Len=0"
"158","1.839027000","118.214.135.85","10.10.12.0","TLSv1.2","85","Encrypted Alert"
"159","1.839028000","118.214.135.85","10.10.12.0","TCP","60","https > 50977 [FIN, ACK] Seq=32 Ack=1 Win=980 Len=0"
"160","1.874410000","192.168.4.128","224.0.0.251","MDNS","278","Standard query 0x0000  ANY f.d.2.1.9.2.e.f.f.f.4.c.5.4.a.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY linux-250.local, ""QM"" question ANY 128.4.168.192.in-addr.arpa, ""QM"" question"
"161","1.874909000","192.168.7.3","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"162","1.875051000","192.168.4.128","224.0.0.251","MDNS","108","Standard query response 0x0000  PTR, cache flush linux-97.local"
"163","1.879789000","192.168.3.215","224.0.0.252","LLMNR","64","Standard query 0x82e0  A wpad"
"164","1.880789000","fe80::6600:6aff:fe37:40d9","ff02::1:ff02:22f","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:22f from 64:00:6a:37:40:d9"
"165","1.880913000","Dell_27:82:de","Broadcast","ARP","60","Who has 192.168.7.142?  Tell 192.168.3.149"
"166","1.886438000","192.168.3.254","192.168.3.211","TCP","62","ndl-aas > fnet-remote-ui [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1"
"167","1.888346000","192.168.3.254","192.168.3.211","TCP","60","ndl-aas > fnet-remote-ui [ACK] Seq=1 Ack=211 Win=30016 Len=0"
"168","1.894767000","192.168.3.254","192.168.3.211","HTTP","93","HTTP/1.1 200 Connection established "
"169","1.918892000","Intel_ff:ce:a7","Broadcast","0xbeef","60","Ethernet II"
"170","1.933253000","Giga-Byt_0e:7d:ed","Broadcast","ARP","60","Who has 192.168.14.250?  Tell 192.168.15.177"
"171","1.939529000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.8?  Tell 192.168.16.254"
"172","1.943185000","D-Link_9f:8a:cf","Broadcast","ARP","60","Who has 10.10.15.50?  Tell 10.10.15.165"
"173","1.948844000","Dell_93:c3:3a","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.3.148"
"174","1.970467000","Dell_27:48:0a","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.208"
"175","1.973409000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.3.4?  Tell 192.168.3.254"
"176","1.998620000","fe80::adb7:4c35:7a64:621e","ff02::1:ffa7:7fb2","ICMPv6","86","Neighbor Solicitation for fe80::a1fb:332b:83a7:7fb2 from b8:ac:6f:68:65:68"
"177","2.003773000","fe80::f68e:38ff:fe87:a57e","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from f4:8e:38:87:a5:7e"
"178","2.028027000","fe80::e298:61ff:fe35:9a26","ff02::1:ff64:621e","ICMPv6","86","Neighbor Solicitation for fe80::adb7:4c35:7a64:621e from e0:98:61:35:9a:26"
"179","2.039023000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.9?  Tell 192.168.16.254"
"180","2.039969000","192.168.9.199","192.168.9.255","NBNS","92","Name query NB ISATAP<00>"
"181","2.040149000","fe80::f68e:38ff:fe87:a56a","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from f4:8e:38:87:a5:6a"
"182","2.082870000","192.168.3.215","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"183","2.088151000","Cisco_c8:aa:d2","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 0/0/00:07:4f:12:34:c0  Cost = 38  Port = 0x8012"
"184","2.098314000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.16.214?  Tell 192.168.16.253"
"185","2.107577000","fe80::b283:feff:fe4d:f1c9","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from b0:83:fe:4d:f1:c9"
"186","2.119389000","Dell_fd:b3:b3","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.3.203"
"187","2.135096000","118.214.135.85","10.10.12.0","TLSv1.2","85","[TCP Retransmission] Encrypted Alert"
"188","2.137456000","118.214.135.85","10.10.12.0","TLSv1.2","85","[TCP Retransmission] Encrypted Alert"
"189","2.139576000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.10?  Tell 192.168.16.254"
"190","2.160081000","118.214.142.216","10.10.13.238","TLSv1.2","97","Encrypted Alert"
"191","2.162415000","fe80::90c7:9c8e:4162:743a","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"192","2.173438000","Dell_92:4d:81","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.14.150"
"193","2.176036000","fe80::194f:e6f8:dfa4:d1ec","ff02::1:3","LLMNR","95","Standard query 0x4431  AAAA WIN-JJVQTFUFFR8"
"194","2.176316000","192.168.17.101","224.0.0.252","LLMNR","75","Standard query 0x4431  AAAA WIN-JJVQTFUFFR8"
"195","2.181982000","fe80::175:6553:3c34:d4f0","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from c8:1f:66:06:4a:84"
"196","2.194496000","192.168.9.17","192.168.31.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"197","2.216754000","Giga-Byt_0f:37:26","Broadcast","ARP","60","Who has 10.10.8.216?  Tell 10.10.12.50"
"198","2.231058000","Dell_27:49:60","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.87"
"199","2.238888000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.11?  Tell 192.168.16.254"
"200","2.239555000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.1?  Tell 192.168.16.254"
